"motif","tfs"
"MA0140.2","SCX"
"MA0140.2","PTF1A"
"MA0140.2","TAL2"
"MA0140.2","LYL1"
"MA0140.2","NHLH1"
"MA0140.2","NHLH2"
"MA0141.3","ESR1"
"MA0141.3","ESR2"
"MA0141.3","ESRRA"
"MA0141.3","ESRRG"
"MA0141.3","NR3C1"
"MA0141.3","NR3C2"
"MA0141.3","NR3C3"
"MA0141.3","NR3C4"
"MA0142.1","HDX"
"MA0142.1","HMBOX1"
"MA0142.1","POU6F1"
"MA0142.1","POU6F2"
"MA0142.1","POU5F2"
"MA0142.1","POU4F1"
"MA0142.1","POU4F2"
"MA0142.1","POU4F3"
"MA0142.1","POU3F1"
"MA0142.1","POU3F2"
"MA0142.1","POU3F3"
"MA0142.1","POU3F4"
"MA0142.1","POU2F1"
"MA0142.1","POU2F2"
"MA0142.1","POU2F3"
"MA0142.1","POU1F1"
"MA0142.1","SOX30"
"MA0142.1","SOX15"
"MA0142.1","SOX7"
"MA0142.1","SOX17"
"MA0142.1","SOX18"
"MA0142.1","SOX8"
"MA0142.1","SOX9"
"MA0142.1","SOX10"
"MA0142.1","SOX5"
"MA0142.1","SOX6"
"MA0142.1","SOX13"
"MA0142.1","SOX4"
"MA0142.1","SOX11"
"MA0142.1","SOX12"
"MA0142.1","SOX1"
"MA0142.1","SOX3"
"MA0142.1","SOX14"
"MA0142.1","SOX21"
"MA0142.1","SRY"
"MA0143.3","SOX30"
"MA0143.3","SOX15"
"MA0143.3","SOX7"
"MA0143.3","SOX17"
"MA0143.3","SOX18"
"MA0143.3","SOX8"
"MA0143.3","SOX9"
"MA0143.3","SOX10"
"MA0143.3","SOX5"
"MA0143.3","SOX6"
"MA0143.3","SOX13"
"MA0143.3","SOX4"
"MA0143.3","SOX11"
"MA0143.3","SOX12"
"MA0143.3","SOX1"
"MA0143.3","SOX3"
"MA0143.3","SOX14"
"MA0143.3","SOX21"
"MA0143.3","SRY"
"MA0144.2","STAT1"
"MA0144.2","STAT2"
"MA0144.2","STAT4"
"MA0144.2","STAT5A"
"MA0144.2","STAT5B"
"MA0144.2","STAT6"
"MA0148.3","FOXI1"
"MA0148.3","FOXI2"
"MA0148.3","FOXI3"
"MA0148.3","FOXH1"
"MA0148.3","FOXG1"
"MA0148.3","FOXF1"
"MA0148.3","FOXF2"
"MA0148.3","FOXE1"
"MA0148.3","FOXE3"
"MA0148.3","FOXD1"
"MA0148.3","FOXD4L6"
"MA0148.3","FOXD2"
"MA0148.3","FOXD3"
"MA0148.3","FOXD4"
"MA0148.3","FOXD4L1"
"MA0148.3","FOXD4L3"
"MA0148.3","FOXD4L4"
"MA0148.3","FOXD4L5"
"MA0148.3","FOXC1"
"MA0148.3","FOXC2"
"MA0148.3","FOXB1"
"MA0148.3","FOXB2"
"MA0148.3","FOXS1"
"MA0148.3","FOXR1"
"MA0148.3","FOXR2"
"MA0148.3","FOXQ1"
"MA0148.3","FOXP1"
"MA0148.3","FOXP2"
"MA0148.3","FOXP3"
"MA0148.3","FOXP4"
"MA0148.3","FOXO1"
"MA0148.3","FOXO3"
"MA0148.3","FOXO4"
"MA0148.3","FOXO6"
"MA0148.3","FOXN1"
"MA0148.3","FOXN2"
"MA0148.3","FOXN3"
"MA0148.3","FOXN4"
"MA0148.3","FOXM1"
"MA0148.3","FOXL1"
"MA0148.3","FOXL2"
"MA0148.3","FOXK1"
"MA0148.3","FOXK2"
"MA0148.3","FOXJ1"
"MA0148.3","FOXJ2"
"MA0148.3","FOXJ3"
"MA0148.3","FOXA2"
"MA0148.3","FOXA3"
"MA0150.2","ATF2"
"MA0150.2","ATF7"
"MA0150.2","CREB5"
"MA0150.2","NFE2L1"
"MA0150.2","NFE2L3"
"MA0150.2","BACH1"
"MA0150.2","BACH2"
"MA0150.2","JUNB"
"MA0150.2","JUND"
"MA0151.1","ARID2"
"MA0151.1","JARID2"
"MA0151.1","ARID5A"
"MA0151.1","ARID5B"
"MA0151.1","ARID4A"
"MA0151.1","ARID4B"
"MA0151.1","ARID3B"
"MA0151.1","ARID3C"
"MA0151.1","ARID1A"
"MA0151.1","ARID1B"
"MA0151.1","KDM5B"
"MA0152.1","NFATC1"
"MA0152.1","NFATC3"
"MA0152.1","NFATC4"
"MA0152.1","NFAT5"
"MA0154.3","EBF2"
"MA0154.3","EBF3"
"MA0154.3","EBF4"
"MA0156.2","SPDEF"
"MA0156.2","ETV6"
"MA0156.2","ETV7"
"MA0156.2","SPIB"
"MA0156.2","SPIC"
"MA0156.2","EHF"
"MA0156.2","ELF3"
"MA0156.2","ELF5"
"MA0156.2","ELF1"
"MA0156.2","ELF2"
"MA0156.2","ELF4"
"MA0156.2","ELK1"
"MA0156.2","ELK3"
"MA0156.2","ELK4"
"MA0156.2","ETV1"
"MA0156.2","ETV4"
"MA0156.2","ETV5"
"MA0156.2","ERF"
"MA0156.2","ETV2"
"MA0156.2","FLI1"
"MA0156.2","ERG"
"MA0156.2","ETV3"
"MA0156.2","ETV3L"
"MA0157.2","FOXI1"
"MA0157.2","FOXI2"
"MA0157.2","FOXI3"
"MA0157.2","FOXH1"
"MA0157.2","FOXG1"
"MA0157.2","FOXF1"
"MA0157.2","FOXF2"
"MA0157.2","FOXE1"
"MA0157.2","FOXE3"
"MA0157.2","FOXD1"
"MA0157.2","FOXD4L6"
"MA0157.2","FOXD2"
"MA0157.2","FOXD3"
"MA0157.2","FOXD4"
"MA0157.2","FOXD4L1"
"MA0157.2","FOXD4L3"
"MA0157.2","FOXD4L4"
"MA0157.2","FOXD4L5"
"MA0157.2","FOXC1"
"MA0157.2","FOXC2"
"MA0157.2","FOXB1"
"MA0157.2","FOXB2"
"MA0157.2","FOXS1"
"MA0157.2","FOXR1"
"MA0157.2","FOXR2"
"MA0157.2","FOXQ1"
"MA0157.2","FOXP1"
"MA0157.2","FOXP2"
"MA0157.2","FOXP3"
"MA0157.2","FOXP4"
"MA0157.2","FOXO1"
"MA0157.2","FOXO4"
"MA0157.2","FOXO6"
"MA0157.2","FOXN1"
"MA0157.2","FOXN2"
"MA0157.2","FOXN3"
"MA0157.2","FOXN4"
"MA0157.2","FOXM1"
"MA0157.2","FOXL1"
"MA0157.2","FOXL2"
"MA0157.2","FOXK1"
"MA0157.2","FOXK2"
"MA0157.2","FOXJ1"
"MA0157.2","FOXJ2"
"MA0157.2","FOXJ3"
"MA0157.2","FOXA1"
"MA0157.2","FOXA2"
"MA0157.2","FOXA3"
"MA0158.1","CDX1"
"MA0158.1","CDX2"
"MA0158.1","CDX4"
"MA0158.1","HOXA9"
"MA0158.1","HOXD11"
"MA0158.1","HOXC12"
"MA0158.1","HOXD12"
"MA0158.1","HOXA13"
"MA0158.1","HOXB13"
"MA0158.1","HOXC13"
"MA0158.1","HOXD13"
"MA0158.1","HOXB9"
"MA0158.1","HOXC9"
"MA0158.1","HOXD9"
"MA0158.1","HOXA10"
"MA0158.1","HOXC10"
"MA0158.1","HOXD10"
"MA0158.1","HOXA11"
"MA0158.1","HOXC11"
"MA0158.1","HOXB8"
"MA0158.1","HOXC8"
"MA0158.1","HOXD8"
"MA0158.1","HOXA6"
"MA0158.1","HOXB6"
"MA0158.1","HOXC6"
"MA0158.1","HOXA7"
"MA0158.1","HOXB7"
"MA0158.1","HOXB5"
"MA0158.1","HOXC5"
"MA0158.1","HOXA4"
"MA0158.1","HOXB4"
"MA0158.1","HOXC4"
"MA0158.1","HOXD4"
"MA0158.1","HOXA3"
"MA0158.1","HOXB3"
"MA0158.1","HOXD3"
"MA0158.1","HOXA2"
"MA0158.1","HOXB2"
"MA0158.1","PDX1"
"MA0158.1","MEOX1"
"MA0158.1","MEOX2"
"MA0158.1","MNX1"
"MA0158.1","GSX1"
"MA0158.1","GSX2"
"MA0158.1","GBX1"
"MA0158.1","GBX2"
"MA0158.1","EVX1"
"MA0158.1","EVX2"
"MA0158.1","HOXA1"
"MA0158.1","HOXB1"
"MA0158.1","HOXD1"
"MA0161.1","NFIA"
"MA0161.1","NFIB"
"MA0161.1","NFIX"
"MA0162.2","EGR2"
"MA0162.2","EGR3"
"MA0162.2","EGR4"
"MA0162.2","KLF1"
"MA0162.2","KLF10"
"MA0162.2","KLF11"
"MA0162.2","KLF12"
"MA0162.2","KLF13"
"MA0162.2","KLF14"
"MA0162.2","KLF15"
"MA0162.2","KLF16"
"MA0162.2","KLF17"
"MA0162.2","KLF2"
"MA0162.2","KLF3"
"MA0162.2","KLF4"
"MA0162.2","KLF5"
"MA0162.2","KLF6"
"MA0162.2","KLF7"
"MA0162.2","KLF8"
"MA0162.2","KLF9"
"MA0162.2","SP1"
"MA0162.2","SP2"
"MA0162.2","SP3"
"MA0162.2","SP4"
"MA0162.2","SP5"
"MA0162.2","SP6"
"MA0162.2","SP7"
"MA0162.2","SP8"
"MA0162.2","SP9"
"MA0258.2","ESR1"
"MA0258.2","ESRRA"
"MA0258.2","ESRRB"
"MA0258.2","ESRRG"
"MA0258.2","NR3C1"
"MA0258.2","NR3C2"
"MA0258.2","NR3C3"
"MA0258.2","NR3C4"
"MA0259.1","NPAS4"
"MA0259.1","SOHLH1"
"MA0259.1","SOHLH2"
"MA0259.1","TCFL5"
"MA0259.1","NCOA1"
"MA0259.1","NCOA2"
"MA0259.1","NCOA3"
"MA0259.1","ARNT2"
"MA0259.1","ARNTL"
"MA0259.1","ARNTL2"
"MA0259.1","CLOCK"
"MA0259.1","NPAS2"
"MA0259.1","AHR"
"MA0259.1","AHRR"
"MA0259.1","SIM1"
"MA0259.1","SIM2"
"MA0259.1","EPAS1"
"MA0259.1","NPAS1"
"MA0259.1","NPAS3"
"MA0442.1","SOX30"
"MA0442.1","SOX15"
"MA0442.1","SOX7"
"MA0442.1","SOX17"
"MA0442.1","SOX18"
"MA0442.1","SOX8"
"MA0442.1","SOX9"
"MA0442.1","SOX5"
"MA0442.1","SOX6"
"MA0442.1","SOX13"
"MA0442.1","SOX4"
"MA0442.1","SOX11"
"MA0442.1","SOX12"
"MA0442.1","SOX1"
"MA0442.1","SOX2"
"MA0442.1","SOX3"
"MA0442.1","SOX14"
"MA0442.1","SOX21"
"MA0442.1","SRY"
"MA0462.1","BATF2"
"MA0462.1","BATF3"
"MA0465.1","CDX1"
"MA0465.1","CDX4"
"MA0465.1","HOXA9"
"MA0465.1","HOXD11"
"MA0465.1","HOXC12"
"MA0465.1","HOXD12"
"MA0465.1","HOXA13"
"MA0465.1","HOXB13"
"MA0465.1","HOXC13"
"MA0465.1","HOXD13"
"MA0465.1","HOXB9"
"MA0465.1","HOXC9"
"MA0465.1","HOXD9"
"MA0465.1","HOXA10"
"MA0465.1","HOXC10"
"MA0465.1","HOXD10"
"MA0465.1","HOXA11"
"MA0465.1","HOXC11"
"MA0465.1","HOXB8"
"MA0465.1","HOXC8"
"MA0465.1","HOXD8"
"MA0465.1","HOXA6"
"MA0465.1","HOXB6"
"MA0465.1","HOXC6"
"MA0465.1","HOXA7"
"MA0465.1","HOXB7"
"MA0465.1","HOXA5"
"MA0465.1","HOXB5"
"MA0465.1","HOXC5"
"MA0465.1","HOXA4"
"MA0465.1","HOXB4"
"MA0465.1","HOXC4"
"MA0465.1","HOXD4"
"MA0465.1","HOXA3"
"MA0465.1","HOXB3"
"MA0465.1","HOXD3"
"MA0465.1","HOXA2"
"MA0465.1","HOXB2"
"MA0465.1","PDX1"
"MA0465.1","MEOX1"
"MA0465.1","MEOX2"
"MA0465.1","MNX1"
"MA0465.1","GSX1"
"MA0465.1","GSX2"
"MA0465.1","GBX1"
"MA0465.1","GBX2"
"MA0465.1","EVX1"
"MA0465.1","EVX2"
"MA0465.1","HOXA1"
"MA0465.1","HOXB1"
"MA0465.1","HOXD1"
"MA0467.1","HOPX"
"MA0467.1","ISX"
"MA0467.1","LEUTX"
"MA0467.1","NOBOX"
"MA0467.1","OTP"
"MA0467.1","ARGFX"
"MA0467.1","RAX"
"MA0467.1","SEBOX"
"MA0467.1","SHOX"
"MA0467.1","UNCX"
"MA0467.1","ARX"
"MA0467.1","DPRX"
"MA0467.1","DRGX"
"MA0467.1","GSC"
"MA0467.1","GSC2"
"MA0467.1","ESX1"
"MA0467.1","DUXA"
"MA0467.1","DUX4"
"MA0467.1","VSX1"
"MA0467.1","VSX2"
"MA0467.1","TPRX1"
"MA0467.1","SHOX2"
"MA0467.1","RHOXF1"
"MA0467.1","RHOXF2"
"MA0467.1","RHOXF2B"
"MA0467.1","RAX2"
"MA0467.1","PRRX1"
"MA0467.1","PRRX2"
"MA0467.1","PROP1"
"MA0467.1","PITX1"
"MA0467.1","PITX2"
"MA0467.1","PITX3"
"MA0467.1","PHOX2A"
"MA0467.1","PHOX2B"
"MA0467.1","OTX1"
"MA0467.1","OTX2"
"MA0467.1","MIXL1"
"MA0467.1","HESX1"
"MA0467.1","ALX1"
"MA0467.1","ALX3"
"MA0467.1","ALX4"
"MA0467.1","ELF3"
"MA0468.1","HOPX"
"MA0468.1","ISX"
"MA0468.1","LEUTX"
"MA0468.1","NOBOX"
"MA0468.1","OTP"
"MA0468.1","ARGFX"
"MA0468.1","RAX"
"MA0468.1","SEBOX"
"MA0468.1","SHOX"
"MA0468.1","UNCX"
"MA0468.1","ARX"
"MA0468.1","DPRX"
"MA0468.1","DRGX"
"MA0468.1","GSC"
"MA0468.1","GSC2"
"MA0468.1","ESX1"
"MA0468.1","DUXA"
"MA0468.1","VSX1"
"MA0468.1","VSX2"
"MA0468.1","TPRX1"
"MA0468.1","SHOX2"
"MA0468.1","RHOXF1"
"MA0468.1","RHOXF2"
"MA0468.1","RHOXF2B"
"MA0468.1","RAX2"
"MA0468.1","PRRX1"
"MA0468.1","PRRX2"
"MA0468.1","PROP1"
"MA0468.1","PITX1"
"MA0468.1","PITX2"
"MA0468.1","PITX3"
"MA0468.1","PHOX2A"
"MA0468.1","PHOX2B"
"MA0468.1","OTX1"
"MA0468.1","OTX2"
"MA0468.1","CRX"
"MA0468.1","MIXL1"
"MA0468.1","HESX1"
"MA0468.1","ALX1"
"MA0468.1","ALX3"
"MA0468.1","ALX4"
"MA0468.1","ELF3"
"MA0469.2","E2F1"
"MA0469.2","E2F2"
"MA0469.2","E2F4"
"MA0469.2","E2F5"
"MA0469.2","E2F6"
"MA0469.2","E2F7"
"MA0469.2","E2F8"
"MA0470.1","E2F1"
"MA0470.1","E2F2"
"MA0470.1","E2F3"
"MA0470.1","E2F5"
"MA0470.1","E2F6"
"MA0470.1","E2F7"
"MA0470.1","E2F8"
"MA0471.1","E2F1"
"MA0471.1","E2F2"
"MA0471.1","E2F3"
"MA0471.1","E2F4"
"MA0471.1","E2F5"
"MA0471.1","E2F7"
"MA0471.1","E2F8"
"MA0472.2","EGR1"
"MA0472.2","EGR3"
"MA0472.2","EGR4"
"MA0472.2","KLF1"
"MA0472.2","KLF10"
"MA0472.2","KLF11"
"MA0472.2","KLF12"
"MA0472.2","KLF13"
"MA0472.2","KLF14"
"MA0472.2","KLF15"
"MA0472.2","KLF16"
"MA0472.2","KLF17"
"MA0472.2","KLF2"
"MA0472.2","KLF3"
"MA0472.2","KLF4"
"MA0472.2","KLF5"
"MA0472.2","KLF6"
"MA0472.2","KLF7"
"MA0472.2","KLF8"
"MA0472.2","KLF9"
"MA0472.2","SP1"
"MA0472.2","SP2"
"MA0472.2","SP3"
"MA0472.2","SP4"
"MA0472.2","SP5"
"MA0472.2","SP6"
"MA0472.2","SP7"
"MA0472.2","SP8"
"MA0472.2","SP9"
"MA0473.2","SPDEF"
"MA0473.2","ETV6"
"MA0473.2","ETV7"
"MA0473.2","SPIB"
"MA0473.2","SPIC"
"MA0473.2","EHF"
"MA0473.2","ELF3"
"MA0473.2","ELF5"
"MA0473.2","ELF2"
"MA0473.2","ELF4"
"MA0473.2","ELK1"
"MA0473.2","ELK3"
"MA0473.2","ELK4"
"MA0473.2","ETV1"
"MA0473.2","ETV4"
"MA0473.2","ETV5"
"MA0473.2","ERF"
"MA0473.2","ETV2"
"MA0473.2","FLI1"
"MA0473.2","ERG"
"MA0473.2","FEV"
"MA0473.2","ETV3"
"MA0473.2","ETV3L"
"MA0474.2","SPDEF"
"MA0474.2","ETV6"
"MA0474.2","ETV7"
"MA0474.2","SPIB"
"MA0474.2","SPIC"
"MA0474.2","EHF"
"MA0474.2","ELF3"
"MA0474.2","ELF5"
"MA0474.2","ELF1"
"MA0474.2","ELF2"
"MA0474.2","ELF4"
"MA0474.2","ELK1"
"MA0474.2","ELK3"
"MA0474.2","ELK4"
"MA0474.2","ETV1"
"MA0474.2","ETV4"
"MA0474.2","ETV5"
"MA0474.2","ERF"
"MA0474.2","ETV2"
"MA0474.2","FLI1"
"MA0474.2","FEV"
"MA0474.2","ETV3"
"MA0474.2","ETV3L"
"MA0475.2","SPDEF"
"MA0475.2","ETV6"
"MA0475.2","ETV7"
"MA0475.2","SPIB"
"MA0475.2","SPIC"
"MA0475.2","EHF"
"MA0475.2","ELF3"
"MA0475.2","ELF5"
"MA0475.2","ELF1"
"MA0475.2","ELF2"
"MA0475.2","ELF4"
"MA0475.2","ELK1"
"MA0475.2","ELK3"
"MA0475.2","ELK4"
"MA0475.2","ETV1"
"MA0475.2","ETV4"
"MA0475.2","ETV5"
"MA0475.2","ERF"
"MA0475.2","ETV2"
"MA0475.2","ERG"
"MA0475.2","FEV"
"MA0475.2","ETV3"
"MA0475.2","ETV3L"
"MA0479.1","FOXI1"
"MA0479.1","FOXI2"
"MA0479.1","FOXI3"
"MA0479.1","FOXG1"
"MA0479.1","FOXF1"
"MA0479.1","FOXF2"
"MA0479.1","FOXE1"
"MA0479.1","FOXE3"
"MA0479.1","FOXD1"
"MA0479.1","FOXD4L6"
"MA0479.1","FOXD2"
"MA0479.1","FOXD3"
"MA0479.1","FOXD4"
"MA0479.1","FOXD4L1"
"MA0479.1","FOXD4L3"
"MA0479.1","FOXD4L4"
"MA0479.1","FOXD4L5"
"MA0479.1","FOXC1"
"MA0479.1","FOXC2"
"MA0479.1","FOXB1"
"MA0479.1","FOXB2"
"MA0479.1","FOXS1"
"MA0479.1","FOXR1"
"MA0479.1","FOXR2"
"MA0479.1","FOXQ1"
"MA0479.1","FOXP1"
"MA0479.1","FOXP2"
"MA0479.1","FOXP3"
"MA0479.1","FOXP4"
"MA0479.1","FOXO1"
"MA0479.1","FOXO3"
"MA0479.1","FOXO4"
"MA0479.1","FOXO6"
"MA0479.1","FOXN1"
"MA0479.1","FOXN2"
"MA0479.1","FOXN3"
"MA0479.1","FOXN4"
"MA0479.1","FOXM1"
"MA0479.1","FOXL1"
"MA0479.1","FOXL2"
"MA0479.1","FOXK1"
"MA0479.1","FOXK2"
"MA0479.1","FOXJ1"
"MA0479.1","FOXJ2"
"MA0479.1","FOXJ3"
"MA0479.1","FOXA1"
"MA0479.1","FOXA2"
"MA0479.1","FOXA3"
"MA0480.1","FOXI1"
"MA0480.1","FOXI2"
"MA0480.1","FOXI3"
"MA0480.1","FOXH1"
"MA0480.1","FOXG1"
"MA0480.1","FOXF1"
"MA0480.1","FOXF2"
"MA0480.1","FOXE1"
"MA0480.1","FOXE3"
"MA0480.1","FOXD1"
"MA0480.1","FOXD4L6"
"MA0480.1","FOXD2"
"MA0480.1","FOXD3"
"MA0480.1","FOXD4"
"MA0480.1","FOXD4L1"
"MA0480.1","FOXD4L3"
"MA0480.1","FOXD4L4"
"MA0480.1","FOXD4L5"
"MA0480.1","FOXC1"
"MA0480.1","FOXC2"
"MA0480.1","FOXB1"
"MA0480.1","FOXB2"
"MA0480.1","FOXS1"
"MA0480.1","FOXR1"
"MA0480.1","FOXR2"
"MA0480.1","FOXQ1"
"MA0480.1","FOXP1"
"MA0480.1","FOXP2"
"MA0480.1","FOXP3"
"MA0480.1","FOXP4"
"MA0480.1","FOXO3"
"MA0480.1","FOXO4"
"MA0480.1","FOXO6"
"MA0480.1","FOXN1"
"MA0480.1","FOXN2"
"MA0480.1","FOXN3"
"MA0480.1","FOXN4"
"MA0480.1","FOXM1"
"MA0480.1","FOXL1"
"MA0480.1","FOXL2"
"MA0480.1","FOXK1"
"MA0480.1","FOXK2"
"MA0480.1","FOXJ1"
"MA0480.1","FOXJ2"
"MA0480.1","FOXJ3"
"MA0480.1","FOXA1"
"MA0480.1","FOXA2"
"MA0480.1","FOXA3"
"MA0481.1","FOXI1"
"MA0481.1","FOXI2"
"MA0481.1","FOXI3"
"MA0481.1","FOXH1"
"MA0481.1","FOXG1"
"MA0481.1","FOXF1"
"MA0481.1","FOXF2"
"MA0481.1","FOXE1"
"MA0481.1","FOXE3"
"MA0481.1","FOXD1"
"MA0481.1","FOXD4L6"
"MA0481.1","FOXD2"
"MA0481.1","FOXD3"
"MA0481.1","FOXD4"
"MA0481.1","FOXD4L1"
"MA0481.1","FOXD4L3"
"MA0481.1","FOXD4L4"
"MA0481.1","FOXD4L5"
"MA0481.1","FOXC1"
"MA0481.1","FOXC2"
"MA0481.1","FOXB1"
"MA0481.1","FOXB2"
"MA0481.1","FOXS1"
"MA0481.1","FOXR1"
"MA0481.1","FOXR2"
"MA0481.1","FOXQ1"
"MA0481.1","FOXP2"
"MA0481.1","FOXP3"
"MA0481.1","FOXP4"
"MA0481.1","FOXO1"
"MA0481.1","FOXO3"
"MA0481.1","FOXO4"
"MA0481.1","FOXO6"
"MA0481.1","FOXN1"
"MA0481.1","FOXN2"
"MA0481.1","FOXN3"
"MA0481.1","FOXN4"
"MA0481.1","FOXM1"
"MA0481.1","FOXL1"
"MA0481.1","FOXL2"
"MA0481.1","FOXK1"
"MA0481.1","FOXK2"
"MA0481.1","FOXJ1"
"MA0481.1","FOXJ2"
"MA0481.1","FOXJ3"
"MA0481.1","FOXA1"
"MA0481.1","FOXA2"
"MA0481.1","FOXA3"
"MA0482.1","GATAD1"
"MA0482.1","DNMT3B"
"MA0482.1","DNMT3L"
"MA0482.1","ATRX"
"MA0482.1","TRPS1"
"MA0482.1","RERE"
"MA0482.1","MTA1"
"MA0482.1","MTA2"
"MA0482.1","MTA3"
"MA0482.1","ZGLP1"
"MA0482.1","DNMT3A"
"MA0482.1","GATA1"
"MA0482.1","GATA2"
"MA0482.1","GATA3"
"MA0482.1","GATA5"
"MA0482.1","GATA6"
"MA0485.1","CDX1"
"MA0485.1","CDX2"
"MA0485.1","CDX4"
"MA0485.1","HOXA9"
"MA0485.1","HOXD11"
"MA0485.1","HOXC12"
"MA0485.1","HOXD12"
"MA0485.1","HOXA13"
"MA0485.1","HOXB13"
"MA0485.1","HOXC13"
"MA0485.1","HOXD13"
"MA0485.1","HOXB9"
"MA0485.1","HOXD9"
"MA0485.1","HOXA10"
"MA0485.1","HOXC10"
"MA0485.1","HOXD10"
"MA0485.1","HOXA11"
"MA0485.1","HOXC11"
"MA0485.1","HOXB8"
"MA0485.1","HOXC8"
"MA0485.1","HOXD8"
"MA0485.1","HOXA6"
"MA0485.1","HOXB6"
"MA0485.1","HOXC6"
"MA0485.1","HOXA7"
"MA0485.1","HOXB7"
"MA0485.1","HOXA5"
"MA0485.1","HOXB5"
"MA0485.1","HOXC5"
"MA0485.1","HOXA4"
"MA0485.1","HOXB4"
"MA0485.1","HOXC4"
"MA0485.1","HOXD4"
"MA0485.1","HOXA3"
"MA0485.1","HOXB3"
"MA0485.1","HOXD3"
"MA0485.1","HOXA2"
"MA0485.1","HOXB2"
"MA0485.1","PDX1"
"MA0485.1","MEOX1"
"MA0485.1","MEOX2"
"MA0485.1","MNX1"
"MA0485.1","GSX1"
"MA0485.1","GSX2"
"MA0485.1","GBX1"
"MA0485.1","GBX2"
"MA0485.1","EVX1"
"MA0485.1","EVX2"
"MA0485.1","HOXA1"
"MA0485.1","HOXB1"
"MA0485.1","HOXD1"
"MA0486.2","HSF2"
"MA0486.2","HSF4"
"MA0486.2","HSF5"
"MA0486.2","HSFX1"
"MA0486.2","HSFY1"
"MA0490.1","ATF2"
"MA0490.1","ATF7"
"MA0490.1","CREB5"
"MA0490.1","NFE2L1"
"MA0490.1","NFE2L2"
"MA0490.1","NFE2L3"
"MA0490.1","BACH1"
"MA0490.1","BACH2"
"MA0490.1","JUND"
"MA0491.1","ATF2"
"MA0491.1","ATF7"
"MA0491.1","CREB5"
"MA0491.1","NFE2L1"
"MA0491.1","NFE2L2"
"MA0491.1","NFE2L3"
"MA0491.1","BACH1"
"MA0491.1","BACH2"
"MA0491.1","JUNB"
"MA0492.1","ATF2"
"MA0492.1","ATF7"
"MA0492.1","CREB5"
"MA0492.1","NFE2L1"
"MA0492.1","NFE2L2"
"MA0492.1","NFE2L3"
"MA0492.1","BACH1"
"MA0492.1","BACH2"
"MA0492.1","JUNB"
"MA0493.1","EGR1"
"MA0493.1","EGR2"
"MA0493.1","EGR3"
"MA0493.1","EGR4"
"MA0493.1","KLF10"
"MA0493.1","KLF11"
"MA0493.1","KLF12"
"MA0493.1","KLF13"
"MA0493.1","KLF14"
"MA0493.1","KLF15"
"MA0493.1","KLF16"
"MA0493.1","KLF17"
"MA0493.1","KLF2"
"MA0493.1","KLF3"
"MA0493.1","KLF4"
"MA0493.1","KLF5"
"MA0493.1","KLF6"
"MA0493.1","KLF7"
"MA0493.1","KLF8"
"MA0493.1","KLF9"
"MA0493.1","SP1"
"MA0493.1","SP2"
"MA0493.1","SP3"
"MA0493.1","SP4"
"MA0493.1","SP5"
"MA0493.1","SP6"
"MA0493.1","SP7"
"MA0493.1","SP8"
"MA0493.1","SP9"
"MA0495.1","MAFG"
"MA0495.1","MAFK"
"MA0495.1","MAFA"
"MA0495.1","MAFB"
"MA0495.1","NRL"
"MA0496.1","MAFF"
"MA0496.1","MAFG"
"MA0496.1","MAFA"
"MA0496.1","MAFB"
"MA0496.1","NRL"
"MA0497.1","MEF2A"
"MA0497.1","MEF2B"
"MA0497.1","MEF2D"
"MA0498.2","MKX"
"MA0498.2","TGIF1"
"MA0498.2","TGIF2"
"MA0498.2","TGIF2LX"
"MA0498.2","TGIF2LY"
"MA0498.2","PKNOX1"
"MA0498.2","PKNOX2"
"MA0498.2","PBX1"
"MA0498.2","PBX2"
"MA0498.2","PBX3"
"MA0498.2","PBX4"
"MA0498.2","MEIS2"
"MA0498.2","MEIS3"
"MA0498.2","IRX1"
"MA0498.2","IRX2"
"MA0498.2","IRX3"
"MA0498.2","IRX4"
"MA0498.2","IRX5"
"MA0498.2","IRX6"
"MA0502.1","NFYA"
"MA0502.1","NFYC"
"MA0504.1","NR2C1"
"MA0504.1","NR2E1"
"MA0507.1","HDX"
"MA0507.1","HMBOX1"
"MA0507.1","POU6F1"
"MA0507.1","POU6F2"
"MA0507.1","POU5F1"
"MA0507.1","POU5F2"
"MA0507.1","POU4F1"
"MA0507.1","POU4F2"
"MA0507.1","POU4F3"
"MA0507.1","POU3F1"
"MA0507.1","POU3F2"
"MA0507.1","POU3F3"
"MA0507.1","POU3F4"
"MA0507.1","POU2F1"
"MA0507.1","POU2F3"
"MA0507.1","POU1F1"
"MA0509.1","RFX2"
"MA0509.1","RFX3"
"MA0509.1","RFX4"
"MA0509.1","RFX5"
"MA0509.1","RFX6"
"MA0509.1","RFX7"
"MA0509.1","RFX8"
"MA0510.2","RFX1"
"MA0510.2","RFX2"
"MA0510.2","RFX3"
"MA0510.2","RFX4"
"MA0510.2","RFX6"
"MA0510.2","RFX7"
"MA0510.2","RFX8"
"MA0511.2","RUNX1"
"MA0511.2","RUNX3"
"MA0513.1","SMAD6"
"MA0513.1","SMAD7"
"MA0513.1","SMAD4"
"MA0513.1","SMAD1"
"MA0513.1","SMAD3"
"MA0513.1","SMAD5"
"MA0513.1","SMAD9"
"MA0513.1","SMAD6"
"MA0513.1","SMAD7"
"MA0513.1","SMAD4"
"MA0513.1","SMAD1"
"MA0513.1","SMAD2"
"MA0513.1","SMAD5"
"MA0513.1","SMAD9"
